ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,65.8,121,1.9,63.9
AL-003,Baldwin County,Alabama,68.4,121,1.6,66.8
AL-005,Barbour County,Alabama,65.9,120,1.1,64.8
AL-007,Bibb County,Alabama,64,120,1.2,62.7
AL-009,Blount County,Alabama,62.6,121,2,60.6
AL-011,Bullock County,Alabama,65.6,121,1.5,64.1
AL-013,Butler County,Alabama,66.4,122,1.8,64.6
AL-015,Calhoun County,Alabama,62.9,121,2,60.9
AL-017,Chambers County,Alabama,63,121,1.5,61.5
AL-019,Cherokee County,Alabama,62.2,121,1.6,60.6
AL-021,Chilton County,Alabama,64.2,124,1.5,62.7
AL-023,Choctaw County,Alabama,66,121,1.5,64.5
AL-025,Clarke County,Alabama,66.5,121,1.7,64.8
AL-027,Clay County,Alabama,62.3,121,1.6,60.7
AL-029,Cleburne County,Alabama,62,121,2.1,59.9
AL-031,Coffee County,Alabama,66.9,121,1.5,65.4
AL-033,Colbert County,Alabama,61.7,121,1.8,59.9
AL-035,Conecuh County,Alabama,67.2,122,1.8,65.4
AL-037,Coosa County,Alabama,63.7,121,1.5,62.3
AL-039,Covington County,Alabama,67.1,121,1.6,65.6
AL-041,Crenshaw County,Alabama,66,121,1.6,64.4
AL-043,Cullman County,Alabama,62.1,121,1.8,60.3
AL-045,Dale County,Alabama,67.1,121,1.4,65.7
AL-047,Dallas County,Alabama,66.1,121,1.8,64.3
AL-049,DeKalb County,Alabama,60.4,116,1.1,59.3
AL-051,Elmore County,Alabama,65.4,121,1.7,63.7
AL-053,Escambia County,Alabama,67.6,122,1.7,66
AL-055,Etowah County,Alabama,62.6,121,1.7,60.8
AL-057,Fayette County,Alabama,63.3,120,1.3,62
AL-059,Franklin County,Alabama,61.5,121,1.6,59.9
AL-061,Geneva County,Alabama,67.6,121,1.6,66.1
AL-063,Greene County,Alabama,64.6,108,0.8,63.8
AL-065,Hale County,Alabama,64.5,112,0.8,63.7
AL-067,Henry County,Alabama,67,121,1.4,65.7
AL-069,Houston County,Alabama,68,121,1.5,66.5
AL-071,Jackson County,Alabama,60.6,118,1.2,59.4
AL-073,Jefferson County,Alabama,63.6,121,1.8,61.8
AL-075,Lamar County,Alabama,63.4,119,1.4,62.1
AL-077,Lauderdale County,Alabama,61.2,121,1.7,59.5
AL-079,Lawrence County,Alabama,61.2,121,1.1,60.1
AL-081,Lee County,Alabama,64.1,120,1.2,63
AL-083,Limestone County,Alabama,61.1,120,1.3,59.8
AL-085,Lowndes County,Alabama,66.5,121,2,64.6
AL-087,Macon County,Alabama,65.3,121,1.3,64
AL-089,Madison County,Alabama,61.3,120,1.3,59.9
AL-091,Marengo County,Alabama,65.4,121,1.1,64.3
AL-093,Marion County,Alabama,62.1,121,1.3,60.7
AL-095,Marshall County,Alabama,61.9,121,1.5,60.3
AL-097,Mobile County,Alabama,68.3,121,1.8,66.4
AL-099,Monroe County,Alabama,67.2,122,2.1,65.1
AL-101,Montgomery County,Alabama,66.5,121,2.1,64.4
AL-103,Morgan County,Alabama,61.7,121,1.5,60.2
AL-105,Perry County,Alabama,64.8,121,1.2,63.6
AL-107,Pickens County,Alabama,64.3,119,1.3,63.1
AL-109,Pike County,Alabama,66,121,1.3,64.6
AL-111,Randolph County,Alabama,62.3,121,1.9,60.5
AL-113,Russell County,Alabama,65.2,120,1.1,64.2
AL-115,St. Clair County,Alabama,63,121,1.9,61.1
AL-117,Shelby County,Alabama,63.6,120,1.6,62
AL-119,Sumter County,Alabama,65.1,121,1.1,64
AL-121,Talladega County,Alabama,63.4,121,1.6,61.8
